ID_Player,Player_Name,Team,Position,Match_Date,Age,Minutes_Played,Goals,Assists,Yellow_Cards,Red_Cards,Distance_KM
21,Dia Saba,Beitar Jerusalem,Goalkeeper,21/05/2024,29,75,1,1,0,2,9.24
22,Sagiv Jehezkel,Maccabi Haifa,Forward,10/02/2024,29,75,0,0,1,0,9.83
23,Hisham Layous,Hapoel Tel Aviv,FWD,19/01/2024,21,90,1,1,0,0,8.86
24,Lior Refaelov,Beitar Jerusalem,FWD,21/06/2024,33,75,2,0,1,0,10.45
25,Mohammad Abu Fani,Beitar Jerusalem,Forward,09/06/2024,21,90,2,0,1,0,9.88
26,Omri Altman,Hapoel Tel Aviv,Goalkeeper,01/03/2024,22,75,1,0,0,0,12.11
27,Sagiv Jehezkel,Maccabi Haifa,Midfielder,13/05/2024,22,0,0,0,0,0,9.79
28,Netta Lavi,Hapoel Tel Aviv,FWD,04/06/2024,25,75,0,0,0,0,7.07
29,Sagiv Jehezkel,Beitar Jerusalem,Forward,01/01/2024,27,90,0,0,0,0,10.69
30,Roey Gordana,Hapoel Beer Sheva,Defender,08/08/2024,34,90,0,0,0,0,10.48
31,Eli Dasa,Hapoel Beer Sheva,Forward,02/04/2024,26,90,0,0,2,0,9.21
32,Miguel Vitor,Maccabi Tel Aviv,Defender,08/07/2024,36,60,0,1,0,0,
33,Raz Shlomo,Hapoel Tel Aviv,Goalkeeper,26/02/2024,31,90,0,0,0,0,8.89
34,Tai Baribo,Hapoel Tel Aviv,Midfielder,02/06/2024,25,90,2,0,0,0,10.99
35,Tai Baribo,Maccabi Tel Aviv,Forward,22/03/2024,26,90,0,0,0,0,14.45
36,Eyad Abu Abaid,Maccabi Tel Aviv,׳§׳©׳¨,27/02/2024,28,60,1,0,0,0,7.79
37,Sagiv Jehezkel,Maccabi Tel Aviv,׳§׳©׳¨,12/01/2024,18,60,1,0,0,0,9.73
38,Shon Weissman,Beitar Jerusalem,׳—׳׳•׳¥,22/04/2024,31,90,0,0,0,0,9.49
39,Ramzi Safouri,Hapoel Tel Aviv,FWD,05/06/2024,22,90,1,0,0,0,9.85
40,Roey Gordana,Beitar Jerusalem,Goalkeeper,27/01/2024,31,75,1,0,0,1,12.03
41,Eran Zahavi,Maccabi Tel Aviv,Forward,17/08/2024,21,0,4,0,0,0,11.31
42,Dan Einbinder,Hapoel Tel Aviv,׳§׳©׳¨,15/07/2024,18,75,1,0,1,0,11.77
43,Eyad Abu Abaid,Beitar Jerusalem,FWD,15/05/2024,36,90,0,0,0,0,10.55
44,Dor Peretz,Beitar Jerusalem,׳§׳©׳¨,21/06/2024,25,75,1,1,0,0,8.52
45,Mohammad Abu Fani,Maccabi Tel Aviv,Forward,02/03/2024,32,90,0,0,0,0,8.83
46,Dean David,Hapoel Tel Aviv,Defender,19/07/2024,32,45,0,0,0,0,11.62
47,Dor Peretz,Maccabi Tel Aviv,Forward,06/08/2024,26,75,0,0,0,0,10.76
48,Dor Turgeman,Hapoel Tel Aviv,׳—׳׳•׳¥,02/06/2024,26,90,2,1,0,0,
49,Yarden Shua,Hapoel Beer Sheva,Forward,18/02/2024,27,90,1,1,0,0,10.94
50,Roey Gordana,Maccabi Haifa,Forward,18/06/2024,37,75,0,0,0,0,8.73
51,Manor Solomon,Maccabi Haifa,׳—׳׳•׳¥,15/03/2024,26,45,-1,-2,0,0,9.72
52,Dor Turgeman,Maccabi Haifa,Goalkeeper,19/07/2024,20,75,0,1,0,0,11.35
53,Dean David,Maccabi Tel Aviv,Forward,02/04/2024,37,75,0,0,0,0,11.57
54,Mohammad Abu Fani,Hapoel Beer Sheva,׳—׳׳•׳¥,25/06/2024,28,60,1,1,0,0,11.78
55,Lior Refaelov,Hapoel Tel Aviv,FWD,01/08/2024,23,75,0,0,0,0,8.93
56,Ramzi Safouri,Beitar Jerusalem,Defender,15/04/2024,19,90,0,0,0,0,8.7
57,Tai Baribo,Hapoel Tel Aviv,Defender,23/02/2024,24,45,0,1,0,0,10.22
58,Dor Peretz,Beitar Jerusalem,Forward,19/01/2024,35,90,1,0,2,0,12.66
59,Sagiv Jehezkel,Hapoel Tel Aviv,Goalkeeper,05/05/2024,19,90,0,1,0,0,9.46
60,Anan Khalaili,Hapoel Beer Sheva,Goalkeeper,04/02/2024,34,0,0,0,1,0,11.18
61,Tai Baribo,Beitar Jerusalem,FWD,24/01/2024,150,90,0,0,0,0,11.18
62,Eran Zahavi,Maccabi Tel Aviv,Forward,10/01/2024,29,90,0,0,0,0,11.64
63,Manor Solomon,Hapoel Tel Aviv,Defender,20/08/2024,36,90,0,1,0,0,13
64,Eli Dasa,Hapoel Tel Aviv,Goalkeeper,05/02/2024,24,15,1,0,0,0,12.84
65,Yarden Shua,Beitar Jerusalem,Forward,06/05/2024,37,90,0,0,0,0,9.61
66,Dor Turgeman,Maccabi Tel Aviv,׳§׳©׳¨,02/05/2024,23,90,0,0,0,0,7.35
67,Anan Khalaili,Maccabi Tel Aviv,Goalkeeper,11/03/2024,18,90,0,0,0,0,9.48
68,Yarden Shua,Hapoel Beer Sheva,׳—׳׳•׳¥,16/03/2024,34,90,0,0,1,0,
69,Lior Refaelov,Maccabi Tel Aviv,׳§׳©׳¨,19/07/2024,28,90,0,0,1,0,9.96
70,Hisham Layous,Maccabi Tel Aviv,Goalkeeper,25/07/2024,35,90,0,0,0,0,13.45
71,Netta Lavi,Maccabi Tel Aviv,Defender,23/08/2024,34,75,0,0,0,1,82.4
72,Miguel Vitor,Maccabi Haifa,Midfielder,11/06/2024,24,90,0,0,0,0,11.48
73,Yarden Shua,Hapoel Beer Sheva,׳§׳©׳¨,16/08/2024,34,90,0,0,0,0,10.83
74,Netta Lavi,Hapoel Tel Aviv,FWD,04/08/2024,37,90,0,0,0,1,9.98
75,Dor Turgeman,Beitar Jerusalem,FWD,04/08/2024,26,90,0,1,0,0,7.61
76,Sagiv Jehezkel,Hapoel Tel Aviv,Defender,25/03/2024,34,75,0,2,0,0,10.38
77,Lior Refaelov,Hapoel Beer Sheva,Goalkeeper,03/03/2024,37,60,0,1,2,0,15.38
78,Miguel Vitor,Beitar Jerusalem,Forward,18/05/2024,25,90,1,0,0,1,8.63
79,Yarden Shua,Hapoel Beer Sheva,Goalkeeper,26/03/2024,34,90,1,0,0,0,7.78
80,Manor Solomon,Maccabi Tel Aviv,Defender,19/05/2024,24,90,1,0,2,0,13.4
81,Raz Shlomo,Beitar Jerusalem,FWD,05/02/2024,5,45,1,0,0,0,11.61
82,Tai Baribo,Maccabi Tel Aviv,Goalkeeper,10/05/2024,30,60,0,0,0,0,10.78
83,Anan Khalaili,Hapoel Tel Aviv,FWD,22/05/2024,36,75,0,0,2,0,12.54
84,Manor Solomon,Hapoel Tel Aviv,׳§׳©׳¨,06/01/2024,36,90,0,0,0,0,9.25
85,Shon Weissman,Beitar Jerusalem,Forward,05/01/2024,34,15,0,0,0,0,10.34
86,Roey Gordana,Beitar Jerusalem,׳§׳©׳¨,12/02/2024,30,90,0,0,0,0,11.93
87,Anan Khalaili,Hapoel Beer Sheva,FWD,14/02/2024,33,90,0,0,0,0,13.67
88,Mohammad Abu Fani,Hapoel Beer Sheva,FWD,17/06/2024,25,90,0,0,0,0,8.75
89,Raz Shlomo,Maccabi Tel Aviv,Midfielder,26/05/2024,36,90,0,1,1,0,12.42
90,Oscar Gloukh,Beitar Jerusalem,Midfielder,27/01/2024,35,0,1,0,1,0,11.07
91,Dor Turgeman,Hapoel Tel Aviv,׳§׳©׳¨,26/01/2024,18,60,1,0,0,0,10.74
92,Tai Baribo,Hapoel Beer Sheva,׳—׳׳•׳¥,15/01/2024,31,90,0,0,1,0,10.49
93,Mohammad Abu Fani,Hapoel Beer Sheva,׳§׳©׳¨,22/07/2024,36,75,0,1,0,0,8.42
94,Dia Saba,Hapoel Tel Aviv,Midfielder,24/06/2024,32,0,0,1,0,0,11.94
95,Roey Gordana,Hapoel Beer Sheva,FWD,11/07/2024,35,45,1,0,0,0,9.33
96,Oscar Gloukh,Maccabi Tel Aviv,Defender,16/05/2024,19,75,1,0,0,0,8.88
97,Dean David,Beitar Jerusalem,׳§׳©׳¨,17/02/2024,34,15,0,0,0,0,11.83
98,Tai Baribo,Hapoel Tel Aviv,FWD,04/01/2024,35,0,0,0,1,0,11.68
99,Oscar Gloukh,Beitar Jerusalem,Defender,08/01/2024,23,60,0,2,0,0,10.62
100,Omri Altman,Hapoel Beer Sheva,Defender,03/05/2024,36,90,0,2,0,0,12.12
101,Roey Gordana,  Maccabi Haifa  ,Midfielder,20/07/2024,21,90,0,0,0,0,12.64
102,Dor Peretz,Hapoel Tel Aviv,׳§׳©׳¨,15/07/2024,18,45,0,0,1,1,12.46
103,Dean David,Maccabi Tel Aviv,Goalkeeper,24/06/2024,25,90,0,0,1,0,9.71
104,Dia Saba,Maccabi Haifa,Forward,14/02/2024,24,45,0,0,1,0,12.02
105,Omri Altman,Hapoel Tel Aviv,Midfielder,23/06/2024,20,90,0,0,0,0,10.82
106,Sagiv Jehezkel,Maccabi Haifa,Midfielder,24/02/2024,27,90,0,1,0,0,13.09
107,Anan Khalaili,Maccabi Haifa,Goalkeeper,13/02/2024,27,90,0,0,0,0,10.31
108,Dia Saba,Maccabi Tel Aviv,Forward,14/03/2024,36,90,0,2,0,0,9.97
109,Gabi Kanichowsky,Maccabi Haifa,FWD,24/03/2024,31,0,0,1,0,0,9.58
110,Eyad Abu Abaid,Maccabi Haifa,׳—׳׳•׳¥,07/03/2024,19,45,0,0,1,0,10.78
111,Eli Dasa,maccabi tel aviv,׳§׳©׳¨,15/07/2024,18,45,0,0,0,0,
112,Anan Khalaili,Maccabi Haifa,׳—׳׳•׳¥,14/03/2024,35,75,0,0,0,0,11.23
113,Eran Zahavi,Maccabi Haifa,FWD,15/04/2024,24,90,1,0,0,0,11.02
114,Eran Zahavi,Maccabi Haifa,Midfielder,13/02/2024,25,75,0,0,0,0,11.51
115,Omri Altman,Hapoel Tel Aviv,Forward,26/06/2024,18,75,0,0,0,0,10.17
116,Dan Einbinder,Hapoel Tel Aviv,Midfielder,03/03/2024,20,75,0,0,0,0,9.19
117,Miguel Vitor,Hapoel Tel Aviv,Defender,15/08/2024,25,90,0,0,0,0,9.06
118,Dor Peretz,Maccabi Tel Aviv,Midfielder,25/07/2024,32,75,0,1,1,0,11.96
119,Dean David,Hapoel Beer Sheva,Midfielder,05/04/2024,22,90,1,0,2,0,11.21
120,Dor Peretz,Maccabi Haifa,FWD,10/07/2024,20,0,0,0,0,0,7.72
121,Dean David,Beitar Jeru,FWD,25/01/2024,36,45,0,0,0,0,12.15
122,Anan Khalaili,Maccabi Tel Aviv,FWD,07/06/2024,18,90,0,0,1,0,13.32
123,Sagiv Jehezkel,Maccabi Haifa,׳—׳׳•׳¥,26/06/2024,32,75,0,1,0,0,9.43
124,Lior Refaelov,Hapoel Tel Aviv,Defender,12/01/2024,25,60,0,0,0,0,11
125,Omri Altman,Hapoel Beer Sheva,FWD,17/05/2024,19,90,0,0,1,0,9.79
126,Raz Shlomo,Beitar Jerusalem,Forward,20/01/2024,20,45,1,0,0,0,11.44
127,Shon Weissman,Maccabi Haifa,׳—׳׳•׳¥,04/02/2024,31,45,0,0,0,0,8.75
128,Shon Weissman,Hapoel Tel Aviv,Goalkeeper,03/01/2024,31,90,0,0,0,0,10.39
129,Dia Saba,Beitar Jerusalem,Forward,13/02/2024,28,90,0,0,0,0,11.97
130,Dan Einbinder,Hapoel Beer Sheva,׳§׳©׳¨,15/04/2024,33,90,0,0,0,0,12.35
131,Eran Zahavi,Beitar Jerusalem,׳§׳©׳¨,31/12/2024,21,90,0,0,1,0,11.14
132,Sagiv Jehezkel,Hapoel Tel Aviv,Forward,02/07/2024,37,90,1,0,0,0,9.99
133,Anan Khalaili,Beitar Jerusalem,FWD,08/08/2024,22,45,0,1,0,0,8.11
134,Netta Lavi,Maccabi Tel Aviv,Goalkeeper,17/04/2024,31,90,1,1,0,0,9.36
135,Eran Zahavi,Beitar Jerusalem,Goalkeeper,19/02/2024,33,90,0,0,0,0,9.8
136,Omri Altman,Maccabi Haifa,׳—׳׳•׳¥,09/05/2024,35,15,0,0,0,0,9.45
137,Eran Zahavi,Maccabi Haifa,Goalkeeper,06/04/2024,24,60,1,0,1,0,10.59
138,Dan Einbinder,Maccabi Tel Aviv,׳§׳©׳¨,26/08/2024,27,90,0,0,0,1,9.99
139,Tai Baribo,Hapoel Tel Aviv,Defender,02/03/2024,24,90,0,0,1,0,
140,Manor Solomon,Maccabi Haifa,FWD,24/03/2024,18,90,0,0,1,0,12.3
141,Eran Zahavi,Hapoel Beer Sheva,Goalkeeper,NaN,36,75,0,1,0,0,9.89
142,Omri Altman,Maccabi Haifa,׳—׳׳•׳¥,05/01/2024,33,90,0,0,0,1,8.43
143,Dan Einbinder,Maccabi Haifa,׳§׳©׳¨,01/05/2024,36,75,0,0,2,0,9.45
144,Shon Weissman,Hapoel Tel Aviv,Defender,22/05/2024,21,0,0,1,0,0,11.38
145,Manor Solomon,Beitar Jerusalem,Midfielder,06/06/2024,35,90,0,0,0,0,11.52
146,Dor Peretz,Maccabi Haifa,Midfielder,23/08/2024,19,45,1,0,0,0,11.11
147,Dean David,Maccabi Tel Aviv,Defender,04/06/2024,18,0,0,0,0,0,12.45
148,Tai Baribo,Beitar Jerusalem,׳§׳©׳¨,11/06/2024,32,90,1,0,0,0,10.22
149,Tai Baribo,Hapoel Beer Sheva,׳—׳׳•׳¥,24/07/2024,22,45,0,1,1,0,13.58
150,Miguel Vitor,Hapoel Tel Aviv,Defender,09/07/2024,37,75,1,0,2,0,11.73
151,Oscar Gloukh,Hapoel Beer Sheva,FWD,03/03/2024,28,15,0,0,0,0,6.71
152,Eyad Abu Abaid,Beitar Jerusalem,FWD,08/05/2024,27,75,0,0,0,0,13.2
153,Dor Peretz,Beitar Jerusalem,Midfielder,04/08/2024,19,75,0,0,0,0,9.35
154,Eli Dasa,Beitar Jerusalem,Goalkeeper,06/02/2024,20,75,0,0,0,0,8.95
155,Ramzi Safouri,Hapoel Beer Sheva,׳—׳׳•׳¥,20/04/2024,29,45,0,0,0,0,11.29
156,Yarden Shua,Beitar Jerusalem,Midfielder,11/04/2024,37,60,0,0,0,0,7.89
157,Dan Einbinder,Hapoel Beer Sheva,Goalkeeper,15/06/2024,22,75,0,0,0,0,9.46
158,Shon Weissman,Beitar Jerusalem,Goalkeeper,22/01/2024,22,45,2,0,2,0,12.84
159,Dor Peretz,Maccabi Tel Aviv,FWD,24/06/2024,23,90,0,0,0,0,11.33
160,Oscar Gloukh,Beitar Jerusalem,׳§׳©׳¨,19/06/2024,26,90,1,1,0,0,11.72
161,Tai Baribo,Hapoel Beer Sheva,Forward,25/02/2024,19,90,0,0,0,0,9.51
162,Gabi Kanichowsky,Maccabi Haifa,׳§׳©׳¨,15/03/2024,29,90,1,1,1,0,
163,Yarden Shua,Beitar Jerusalem,Forward,08/02/2024,20,90,0,1,0,0,11.56
164,Oscar Gloukh,Maccabi Haifa,Defender,19/05/2024,37,15,1,1,0,0,11.9
165,Dor Peretz,Maccabi Tel Aviv,FWD,12/05/2024,29,90,0,0,0,0,11.83
166,Eyad Abu Abaid,Hapoel Tel Aviv,Goalkeeper,06/02/2024,34,75,0,0,1,0,10.81
167,Netta Lavi,Maccabi Tel Aviv,׳—׳׳•׳¥,22/04/2024,27,90,2,2,0,0,9.05
168,Lior Refaelov,Beitar Jerusalem,Forward,19/04/2024,31,45,0,0,0,0,14.16
169,Miguel Vitor,Maccabi Haifa,׳§׳©׳¨,01/04/2024,34,0,2,1,0,0,11.22
170,Oscar Gloukh,Maccabi Haifa,Goalkeeper,17/04/2024,35,90,2,1,0,0,10.24
171,Roey Gordana,Hapoel Beer Sheva,Forward,15/01/2024,36,45,0,0,0,0,10.25
172,Mohammad Abu Fani,Maccabi Haifa,Forward,26/06/2024,34,90,0,0,1,0,10.72
173,Hisham Layous,Hapoel Beer Sheva,Forward,06/05/2024,31,45,0,0,0,0,12.1
174,Sagiv Jehezkel,Hapoel Tel Aviv,׳—׳׳•׳¥,11/07/2024,26,90,0,0,0,0,10.78
175,Sagiv Jehezkel,Beitar Jerusalem,FWD,04/05/2024,25,15,0,1,0,0,11.79
176,Ramzi Safouri,Hapoel Beer Sheva,׳—׳׳•׳¥,11/03/2024,19,90,2,1,1,0,10.73
177,Gabi Kanichowsky,Hapoel Tel Aviv,Midfielder,01/06/2024,30,75,0,1,0,0,10.33
178,Shon Weissman,Maccabi Haifa,Goalkeeper,18/08/2024,24,60,0,0,0,0,11.46
179,Roey Gordana,Maccabi Haifa,FWD,10/05/2024,26,90,0,0,2,0,11.4
180,Dor Peretz,Hapoel Tel Aviv,FWD,23/02/2024,28,90,0,1,1,0,
181,Omri Altman,Maccabi Haifa,FWD,12/02/2024,31,90,2,1,0,0,9.38
182,Omri Altman,Hapoel Tel Aviv,׳§׳©׳¨,13/08/2024,21,90,2,0,0,0,11.01
183,Roey Gordana,Hapoel Beer Sheva,FWD,02/04/2024,30,75,1,0,1,0,10.62
184,Roey Gordana,Hapoel Beer Sheva,׳—׳׳•׳¥,01/07/2024,19,90,0,0,0,0,9.67
185,Ramzi Safouri,Hapoel Tel Aviv,FWD,05/01/2024,22,90,0,0,1,0,9.24
186,Oscar Gloukh,Hapoel Beer Sheva,Defender,17/01/2024,28,90,0,3,1,0,11.12
187,Dean David,Hapoel Beer Sheva,Goalkeeper,11/07/2024,23,45,0,0,0,0,
188,Eran Zahavi,Hapoel Beer Sheva,FWD,24/06/2024,35,90,0,0,0,0,9.96
189,Dor Peretz,Maccabi Tel Aviv,Goalkeeper,23/03/2024,27,90,0,0,0,0,9.63
190,Hisham Layous,Beitar Jerusalem,Defender,17/05/2024,21,90,0,1,0,0,9.25
191,Anan Khalaili,Maccabi Haifa,Defender,12/02/2024,26,90,0,0,0,0,11.07
192,Dean David,Maccabi Tel Aviv,Goalkeeper,14/05/2024,23,45,0,0,1,0,9.29
193,Dan Einbinder,Hapoel Beer Sheva,Forward,24/03/2024,19,90,0,0,0,0,13.86
194,Omri Altman,Hapoel Tel Aviv,Midfielder,09/02/2024,34,90,0,1,1,0,9.88
195,Eyad Abu Abaid,Hapoel Beer Sheva,׳§׳©׳¨,12/03/2024,22,60,0,0,0,0,6.86
196,Miguel Vitor,Beitar Jerusalem,Forward,03/01/2024,23,60,0,1,0,0,10.45
197,Sagiv Jehezkel,Hapoel Beer Sheva,Forward,08/08/2024,29,90,0,0,0,0,10.39
198,Dia Saba,Hapoel Tel Aviv,׳—׳׳•׳¥,22/04/2024,27,60,0,0,0,0,12.17
199,Tai Baribo,Beitar Jerusalem,׳§׳©׳¨,08/03/2024,23,15,1,0,0,0,10.93
200,Netta Lavi,Hapoel Beer Sheva,׳§׳©׳¨,09/05/2024,25,90,0,0,0,0,9.25
201,Dia Saba,Beitar Jerusalem,Forward,14/04/2024,19,60,3,1,1,0,10.07
202,Dean David,Maccabi Haifa,FWD,03/05/2024,29,60,0,1,0,0,10.99
203,Ramzi Safouri,Maccabi Haifa,׳—׳׳•׳¥,05/05/2024,30,90,0,0,0,0,7.25
204,Eli Dasa,Hapoel Beer Sheva,׳—׳׳•׳¥,19/03/2024,24,90,0,0,0,0,12.51
205,Eli Dasa,Beitar Jerusalem,Defender,14/02/2024,27,90,0,0,0,0,9.25
206,Ramzi Safouri,Hapoel Tel Aviv,׳§׳©׳¨,04/01/2024,30,45,0,0,0,0,12.63
207,Sagiv Jehezkel,Hapoel Beer Sheva,Forward,13/02/2024,34,0,0,1,0,0,11.09
208,Dor Peretz,Maccabi Haifa,Defender,25/02/2024,31,75,0,0,0,0,11.44
209,Lior Refaelov,Maccabi Haifa,Goalkeeper,08/08/2024,19,90,1,0,0,0,
210,Eran Zahavi,Hapoel Beer Sheva,Midfielder,07/08/2024,28,75,0,0,0,0,11.36
211,Eli Dasa,Beitar Jerusalem,׳—׳׳•׳¥,14/08/2024,18,75,1,0,1,0,11.51
212,Dan Einbinder,Maccabi Haifa,Goalkeeper,19/05/2024,36,90,1,0,0,0,10.25
213,Eli Dasa,Beitar Jerusalem,Goalkeeper,06/01/2024,21,90,1,0,0,0,11.06
214,Dia Saba,Maccabi Haifa,FWD,23/07/2024,36,45,0,0,0,0,
215,Eli Dasa,Maccabi Haifa,Midfielder,15/01/2024,28,90,0,0,0,0,9.98
216,Eli Dasa,Maccabi Tel Aviv,Goalkeeper,25/01/2024,25,45,0,0,1,0,13.45
217,Lior Refaelov,Maccabi Haifa,Goalkeeper,01/07/2024,28,90,0,0,0,0,9.29
218,Lior Refaelov,Hapoel Tel Aviv,Midfielder,23/02/2024,21,90,0,0,0,0,10.73
219,Netta Lavi,Hapoel Beer Sheva,Midfielder,14/05/2024,34,90,0,1,0,0,10.67
220,Shon Weissman,Hapoel Beer Sheva,Goalkeeper,08/08/2024,24,90,0,0,0,0,10.03
221,Dan Einbinder,Beitar Jerusalem,Midfielder,19/07/2024,25,15,0,0,0,0,11.27
222,Omri Altman,Maccabi Haifa,Goalkeeper,19/06/2024,20,90,1,1,0,0,11.38
223,Omri Altman,Hapoel Tel Aviv,Goalkeeper,06/03/2024,19,45,0,0,1,0,9.11
224,Eyad Abu Abaid,Beitar Jerusalem,FWD,07/03/2024,32,75,0,1,0,1,
225,Lior Refaelov,Maccabi Tel Aviv,Forward,08/02/2024,22,45,1,0,0,0,8.88
226,Mohammad Abu Fani,Beitar Jerusalem,Goalkeeper,20/07/2024,18,90,2,0,0,0,11.68
227,Sagiv Jehezkel,Beitar Jerusalem,Defender,15/05/2024,21,45,0,0,0,0,10.76
228,Hisham Layous,Maccabi Haifa,׳—׳׳•׳¥,01/04/2024,32,60,2,1,0,0,10.62
229,Shon Weissman,Maccabi Tel Aviv,׳§׳©׳¨,07/03/2024,37,90,0,0,0,0,11.49
230,Yarden Shua,Beitar Jerusalem,Forward,04/05/2024,36,90,1,0,1,0,10.09
231,Shon Weissman,Hapoel Tel Aviv,Forward,06/01/2024,20,45,1,0,0,0,11.87
232,Gabi Kanichowsky,Hapoel Tel Aviv,Forward,01/05/2024,37,0,0,0,1,0,9.08
233,Dia Saba,Hapoel Beer Sheva,FWD,05/03/2024,28,90,1,1,2,0,12.62
234,Eli Dasa,Maccabi Tel Aviv,Goalkeeper,23/01/2024,34,60,0,0,1,0,9.67
235,Hisham Layous,Maccabi Tel Aviv,FWD,04/06/2024,30,15,0,0,0,0,7.96
236,Dia Saba,Hapoel Beer Sheva,Goalkeeper,02/02/2024,28,45,0,0,0,0,10.01
237,Dan Einbinder,Beitar Jerusalem,FWD,05/03/2024,19,0,0,0,0,0,9.84
238,Ramzi Safouri,Maccabi Tel Aviv,FWD,10/01/2024,26,60,0,0,2,0,10
239,Lior Refaelov,Hapoel Tel Aviv,׳—׳׳•׳¥,22/06/2024,19,90,0,1,0,0,10.85
240,Hisham Layous,Hapoel Tel Aviv,Defender,13/07/2024,26,90,1,0,0,0,12.15
241,Netta Lavi,Maccabi Haifa,FWD,15/04/2024,26,90,0,0,0,0,10.21
242,Gabi Kanichowsky,Maccabi Tel Aviv,׳—׳׳•׳¥,13/08/2024,25,60,0,0,0,0,9.46
243,Raz Shlomo,Beitar Jerusalem,Midfielder,20/08/2024,34,60,2,1,2,0,8.81
244,Raz Shlomo,Hapoel Beer Sheva,Defender,15/05/2024,18,90,0,0,2,0,9.8
245,Omri Altman,Hapoel Beer Sheva,FWD,08/05/2024,28,45,0,0,0,0,7.67
246,Dean David,Beitar Jerusalem,׳§׳©׳¨,15/04/2024,25,60,1,0,0,0,9.41
247,Hisham Layous,Maccabi Haifa,Forward,12/05/2024,27,75,1,0,0,0,12.37
248,Raz Shlomo,Hapoel Beer Sheva,Midfielder,02/03/2024,24,90,1,0,0,0,9.26
249,Eran Zahavi,Maccabi Tel Aviv,Midfielder,19/03/2024,20,75,0,1,0,0,
250,Ramzi Safouri,Maccabi Haifa,׳—׳׳•׳¥,04/04/2024,20,90,0,0,1,0,8.66
251,Ramzi Safouri,Maccabi Haifa,׳—׳׳•׳¥,1/28/2024,25,90,0,0,0,0,10.18
252,Eyad Abu Abaid,Beitar Jerusalem,FWD,02/12/2024,26,90,0,0,0,0,11.12
253,Hisham Layous,Beitar Jerusalem,FWD,09/04/2024,28,90,1,0,0,0,10.52
254,Dean David,Hapoel Beer Sheva,Forward,11/26/2024,27,69,1,0,0,1,9.34
255,Hisham Layous,Hapoel Tel Aviv,׳—׳׳•׳¥,08/11/2024,30,79,0,0,1,0,9.42
256,Dan Einbinder,Hapoel Beer Sheva,FWD,12/10/2024,27,90,1,0,0,0,11.09
257,Dor Peretz,Maccabi Tel Aviv,Defender,01/04/2024,25,90,0,0,1,0,9.44
258,Manor Solomon,Beitar Jerusalem,Defender,4/14/2025,28,90,0,0,0,0,11.65
259,Shon Weissman,Maccabi Haifa,׳§׳©׳¨,10/21/2024,27,67,0,0,0,0,6.4
260,Hisham Layous,Beitar Jerusalem,׳—׳׳•׳¥,07/05/2024,29,44,1,0,0,0,4.5
261,Gabi Kanichowsky,Maccabi Tel Aviv,׳—׳׳•׳¥,9/24/2024,31,71,1,1,0,0,7.21
262,Shon Weissman,Beitar Jerusalem,׳—׳׳•׳¥,5/22/2024,27,90,1,0,0,0,9.58
263,Oscar Gloukh,Beitar Jerusalem,Goalkeeper,1/13/2025,30,86,0,0,0,0,9.11
264,Mohammad Abu Fani,Maccabi Haifa,׳—׳׳•׳¥,3/15/2025,30,90,0,0,0,0,9.72
